-----------------------------------------------------------
line,col,  node
 487,  1,                      td
 487,  5,                        a
 487, 28,                          TEXT
 488,  1,                      td
 488,  5,                        TEXT
 490,  1,                    tr
 491,  1,                      td
 491,  5,                        a
 491, 26,                          TEXT
 492,  1,                      td
 492,  5,                        TEXT
 494,  1,                    tr
 495,  1,                      td
 495,  5,                        a
 495, 30,                          TEXT
 496,  1,                      td
 496,  5,                        TEXT
 498,  1,                    tr
 499,  1,                      td
 499, 24,                        a
 499, 49,                          TEXT
 500,  1,                      td
 500,  5,                        TEXT
 502,  1,                    tr
 503,  1,                      td
 503,  5,                        a
 503, 31,                          TEXT
 504,  1,                      td
 504,  5,                        TEXT
 506,  1,                    tr
 507,  1,                      td
 507,  5,                        a
 507, 51,                          TEXT
 508,  1,                      td
 508,  5,                        span
 508, 30,                          TEXT
 508, 70,                          br
 508, 81,                        TEXT
 510,  1,                    tr
 511,  1,                      td
 511,  5,                        a
 511, 28,                          TEXT
 512,  1,                      td
 512,  5,                        TEXT
 514,  1,                    tr
 515,  1,                      td
 515,  5,                        a
 515, 28,                          TEXT
 516,  1,                      td
 516,  5,                        TEXT
 518,  1,                    tr
 519,  1,                      td
 519,  5,                        a
 519, 27,                          TEXT
 520,  1,                      td
 520,  5,                        TEXT
 522,  1,                    tr
 523,  1,                      td
 523,  5,                        a
 523, 32,                          TEXT
 524,  1,                      td
 524,  5,                        TEXT
 526,  1,                    tr
 527,  1,                      td
 527, 24,                        a
 527, 51,                          TEXT
 528,  1,                      td
 528,  5,                        TEXT
 530,  1,                    tr
 531,  1,                      td
 531,  5,                        a
 531, 26,                          TEXT
 532,  1,                      td
 532,  5,                        TEXT
 534,  1,                    tr
 535,  1,                      td
 535,  5,                        a
 535, 27,                          TEXT
 536,  1,                      td
 536,  5,                        TEXT
 538,  1,                    tr
 539,  1,                      td
 539, 24,                        a
 539, 50,                          TEXT
 540,  1,                      td
 540,  5,                        TEXT
 542,  1,                    tr
 543,  1,                      td
 543,  5,                        a
 543, 27,                          TEXT
 544,  1,                      td
 544,  5,                        TEXT
 546,  1,                    tr
 547,  1,                      td
 547, 24,                        a
 547, 49,                          TEXT
 548,  1,                      td
 548,  5,                        TEXT
 550,  1,                    tr
 551,  1,                      td
 551,  5,                        a
 551, 48,                          TEXT
 552,  1,                      td
 552,  5,                        span
 552, 30,                          TEXT
 552, 77,                          br
 552, 88,                        TEXT
 554,  1,                    tr
 555,  1,                      td
 555,  5,                        a
 555, 27,                          TEXT
 556,  1,                      td
 556,  5,                        TEXT
 558,  1,                    tr
 559,  1,                      td
 559,  5,                        a
 559, 26,                          TEXT
 560,  1,                      td
 560,  5,                        TEXT
 562,  1,                    tr
 563,  1,                      td
 563,  5,                        a
 563, 26,                          TEXT
 564,  1,                      td
 564,  5,                        TEXT
 566,  1,                    tr
 567,  1,                      td
 567,  5,                        a
 567, 26,                          TEXT
 568,  1,                      td
 568,  5,                        TEXT
 570,  1,                    tr
 571,  1,                      td
 571, 24,                        a
 571, 48,                          TEXT
 572,  1,                      td
 572,  5,                        TEXT
 574,  1,                    tr
 575,  1,                      td
 575,  5,                        a
 575, 32,                          TEXT
 576,  1,                      td
 576,  5,                        TEXT
 578,  1,                    tr
 579,  1,                      td
 579, 24,                        a
 579, 53,                          TEXT
 580,  1,                      td
 580,  5,                        TEXT
 582,  1,                    tr
 583,  1,                      td
 583, 24,                        a
 583, 49,                          TEXT
 584,  1,                      td
 584,  5,                        TEXT
 586,  1,                    tr
 587,  1,                      td
 587,  5,                        a
 587, 49,                          TEXT
 588,  1,                      td
 588,  5,                        span
 588, 30,                          TEXT
 588, 70,                          br
 588, 81,                        TEXT
 590,  1,                    tr
 591,  1,                      td
 591, 24,                        a
 591, 49,                          TEXT
 592,  1,                      td
 592,  5,                        TEXT
 594,  1,                    tr
 595,  1,                      td
 595,  5,                        a
 595, 28,                          TEXT
 596,  1,                      td
 596,  5,                        TEXT
 598,  1,                    tr
 599,  1,                      td
 599,  5,                        a
 599, 50,                          TEXT
 600,  1,                      td
 600,  5,                        span
 600, 30,                          TEXT
 600, 53,                          br
 600, 64,                        TEXT
 602,  1,                    tr
 603,  1,                      td
 603,  5,                        a
 603, 53,                          TEXT
 604,  1,                      td
 604,  5,                        span
 604, 30,                          TEXT
 604, 53,                          br
 604, 64,                        TEXT
 606,  1,                    tr
 607,  1,                      td
 607,  5,                        a
 607, 26,                          TEXT
 608,  1,                      td
 608,  6,                        TEXT
 610,  1,                    tr
 611,  1,                      td
 611,  5,                        a
 611, 28,                          TEXT
 612,  1,                      td
 612,  5,                        TEXT
 614,  1,                    tr
 615,  1,                      td
 615, 24,                        a
 615, 49,                          TEXT
 616,  1,                      td
 616,  5,                        TEXT
 618,  1,                    tr
 619,  1,                      td
 619,  5,                        a
 619, 26,                          TEXT
 620,  1,                      td
 620,  6,                        TEXT
 622,  1,                    tr
 623,  1,                      td
 623,  5,                        a
 623, 28,                          TEXT
 624,  1,                      td
 624,  5,                        TEXT
 626,  1,                    tr
 627,  1,                      td
 627,  5,                        a
 627, 25,                          TEXT
 628,  1,                      td
 628,  5,                        TEXT
 630,  1,                    tr
 631,  1,                      td
 631,  5,                        a
 631, 30,                          TEXT
 632,  1,                      td
 632,  5,                        TEXT
 634,  1,                    tr
 635,  1,                      td
 635,  5,                        a
 635, 27,                          TEXT
 636,  1,                      td
 636,  5,                        TEXT
 638,  1,                    tr
 639,  1,                      td
 639,  5,                        a
 639, 29,                          TEXT
 640,  1,                      td
 640,  5,                        TEXT
 642,  1,                    tr
 643,  1,                      td
 643,  5,                        a
 643, 27,                          TEXT
 644,  1,                      td
 644,  5,                        TEXT
 646,  1,                    tr
